Frame Number,Person Count,Activity Indicator
796,3,True
797,3,True
798,4,True
799,4,True
800,5,True
801,4,True
802,3,False
803,1,True
804,3,False
805,2,True
806,4,True
807,2,True
808,2,True
809,2,True
810,2,True
811,3,True
812,2,True
813,1,True
814,1,True
815,1,False
816,1,True
817,2,True
818,2,True
819,2,True
820,1,True
821,2,True
822,2,True
823,2,True
824,4,True
825,4,True
826,4,True
827,5,False
828,4,True
829,4,True
830,3,False
831,4,True
832,2,True
833,3,False
834,2,True
835,5,True
836,5,True
837,5,False
838,5,False
839,5,True
840,4,True
841,4,True
842,0,False
843,0,False
844,0,False
845,0,False
846,0,False
847,0,False
848,0,False
849,0,False
850,0,False
851,0,False
852,0,False
853,0,False
854,0,False
855,0,False
856,0,False
857,0,False
858,0,False
859,0,False
860,0,False
861,0,False
862,0,False
863,0,False
864,0,False
865,0,False
866,0,False
867,0,False
868,0,False
869,0,False
870,0,False
871,0,False
872,0,False
873,0,False
874,0,False
875,0,False
876,0,False
877,0,False
878,0,False
879,0,False
880,0,False
881,0,False
882,0,False
883,0,False
884,0,False
885,0,False
886,0,False
887,0,False
888,0,False
889,0,False
890,0,False
891,0,False
892,0,False
893,0,False
894,0,False
895,0,False
896,0,False
897,0,False
898,0,False
899,0,False
900,0,False
901,0,False
902,0,False
903,0,False
904,0,False
905,0,False
906,0,False
907,0,False
908,0,False
909,0,False
910,0,False
911,0,False
912,0,False
913,0,False
914,0,False
915,0,False
916,0,False
917,0,False
918,0,False
919,0,False
920,0,False
921,0,False
922,0,False
923,0,False
924,0,False
925,0,False
926,0,False
927,0,False
928,0,False
929,0,False
930,0,False
931,0,False
932,0,False
933,0,False
934,0,False
935,0,False
936,0,False
937,0,False
938,0,False
939,0,False
940,0,False
941,0,False
942,0,False
943,0,False
944,0,False
945,0,False
946,0,False
947,0,False
948,0,False
949,0,False
950,0,False
951,0,False
952,0,False
953,0,False
954,0,False
955,0,False
956,0,False
957,0,False
958,0,False
959,0,False
960,0,False
961,0,False
962,0,False
963,0,False
964,0,True
965,0,False
966,0,False
